Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,MessageID,GPSSecs,GPSMicroSecs,Latitude,Longitude,Altitude,GeoSep,NavMode,NumOfSats,HDOP,AgeOfDiff,LockStatus,BaseStationID
1718911522.6089687,1,1718911522,572060346,SparkFun GPS GGA,GGA,1718911522.0,600000.0,40.86303797,-77.83340039333333,334.472,-34.454,2,12,0.55,0.6,2,PSU_TestTrack
1718911522.6738653,2,1718911522,673288345,SparkFun GPS GGA,GGA,1718911522.0,700000.0,40.863036896666664,-77.833401665,334.485,-34.454,2,12,0.55,0.7,2,PSU_TestTrack
1718911522.7765713,3,1718911522,775629997,SparkFun GPS GGA,GGA,1718911522.0,800000.0,40.86303589,-77.83340305,334.489,-34.454,2,12,0.55,0.8,2,PSU_TestTrack
1718911522.8728867,4,1718911522,872594356,SparkFun GPS GGA,GGA,1718911522.0,900000.0,40.86303613,-77.83341013166667,334.943,-34.454,4,12,0.55,0.9,6,PSU_TestTrack
1718911522.991966,5,1718911522,991129398,SparkFun GPS GGA,GGA,1718911523.0,0.0,40.86303523833333,-77.833411705,334.94,-34.454,4,12,0.55,1.0,6,PSU_TestTrack
1718911523.0792346,6,1718911523,78690767,SparkFun GPS GGA,GGA,1718911523.0,100000.0,40.86303431,-77.83341329,334.942,-34.454,4,12,0.55,1.1,6,PSU_TestTrack
1718911523.1837726,7,1718911523,183352947,SparkFun GPS GGA,GGA,1718911523.0,200000.0,40.863033398333336,-77.833414825,334.94,-34.454,4,12,0.55,1.2,6,PSU_TestTrack
1718911523.2794838,8,1718911523,278975486,SparkFun GPS GGA,GGA,1718911523.0,300000.0,40.86303248833333,-77.83341636333333,334.937,-34.454,4,12,0.55,1.3,6,PSU_TestTrack
1718911523.379463,9,1718911523,378946542,SparkFun GPS GGA,GGA,1718911523.0,400000.0,40.86303159,-77.83341794666667,334.93899999999996,-34.454,4,12,0.55,1.4,6,PSU_TestTrack
1718911523.4829059,10,1718911523,482381582,SparkFun GPS GGA,GGA,1718911523.0,500000.0,40.86303073166667,-77.83341954,334.93899999999996,-34.454,4,12,0.55,1.5,6,PSU_TestTrack
1718911523.5789423,11,1718911523,578428506,SparkFun GPS GGA,GGA,1718911523.0,600000.0,40.86302985,-77.83342113,334.944,-34.454,4,12,0.55,0.6,6,PSU_TestTrack
1718911523.678662,12,1718911523,678030252,SparkFun GPS GGA,GGA,1718911523.0,700000.0,40.86302896,-77.833422665,334.941,-34.454,4,12,0.55,0.7,6,PSU_TestTrack
1718911523.773672,13,1718911523,773283243,SparkFun GPS GGA,GGA,1718911523.0,800000.0,40.863028078333336,-77.83342427166667,334.943,-34.454,4,12,0.55,0.8,6,PSU_TestTrack
